City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,Saint-Georges,12.0564,-61.7485,83.88,74,20,23.02,GD,2022-05-16 21:24:33
87,Auki,-8.7676,160.7034,80.46,81,37,2.46,SB,2022-05-16 21:24:34
88,Ancud,-41.8697,-73.8203,51.69,69,6,6.93,CL,2022-05-16 21:24:34
89,Kapaa,22.0752,-159.319,80.58,83,75,8.05,US,2022-05-16 21:20:41
90,Atambua,-9.1061,124.8925,70.68,88,12,4.85,ID,2022-05-16 21:24:35
91,Smithers,54.7804,-127.1743,50.32,34,75,5.75,CA,2022-05-16 21:24:36
92,Jamestown,42.097,-79.2353,62.94,89,100,11.5,US,2022-05-16 21:24:36
93,Codrington,-38.2667,141.9667,49.26,82,100,10.49,AU,2022-05-16 21:25:36
94,Troitsko-Pechorsk,62.7084,56.1964,39.96,95,67,6.4,RU,2022-05-16 21:25:37
95,Suhut,38.5311,30.5458,54.18,82,98,2.06,TR,2022-05-16 21:25:37
96,Najran,17.4924,44.1277,70.45,8,12,2.3,SA,2022-05-16 21:25:38
97,Buta,2.7858,24.73,71.24,98,100,1.79,CD,2022-05-16 21:25:38
98,Pangoa,-12.1167,-73.0,71.28,99,99,3.15,PE,2022-05-16 21:25:39
99,Ribeira Grande,38.5167,-28.7,57.81,66,70,27.47,PT,2022-05-16 21:25:39
100,Whitehorse,60.7161,-135.0538,45.01,79,100,4.61,CA,2022-05-16 21:25:40
101,Atuona,-9.8,-139.0333,79.3,65,13,15.12,PF,2022-05-16 21:25:40
102,La Libertad,-2.2333,-80.9,76.66,73,75,6.91,EC,2022-05-16 21:25:40
103,Toamasina,-18.1667,49.3833,69.8,94,75,11.5,MG,2022-05-16 21:25:41
104,Rapid Valley,44.0625,-103.1463,80.38,34,0,8.99,US,2022-05-16 21:25:41
105,Lebu,-37.6167,-73.65,55.98,65,0,3.91,CL,2022-05-16 21:25:42
106,Hambantota,6.1241,81.1185,79.14,100,20,11.5,LK,2022-05-16 21:25:42
107,Sehithwa,-20.4667,22.7167,65.75,51,7,13.22,BW,2022-05-16 21:25:43
108,Butaritari,3.0707,172.7902,81.79,69,94,12.3,KI,2022-05-16 21:25:43
109,Awbari,26.5921,12.7805,77.81,14,17,7.76,LY,2022-05-16 21:25:43
110,Airai,-8.9266,125.4092,56.44,83,12,2.48,TL,2022-05-16 21:25:44
111,Tselinnoye,53.0833,85.6667,61.11,57,92,6.76,RU,2022-05-16 21:25:44
112,Port Alfred,-33.5906,26.891,70.68,53,0,10.04,ZA,2022-05-16 21:25:45
113,Hovd,48.0056,91.6419,55.04,48,99,7.63,MN,2022-05-16 21:25:45
114,Ciudad Guayana,8.3533,-62.6528,82.99,72,94,10.0,VE,2022-05-16 21:23:30
115,Garowe,8.4054,48.4845,84.0,49,81,23.33,SO,2022-05-16 21:25:46
116,Hilo,19.7297,-155.09,86.29,73,100,8.05,US,2022-05-16 21:25:46
117,Lazaro Cardenas,17.9583,-102.2,87.4,42,74,13.02,MX,2022-05-16 21:25:47
118,Flinders,-34.5833,150.8552,58.17,69,0,5.99,AU,2022-05-16 21:25:47
119,Saint George,37.1041,-113.5841,96.8,7,0,12.66,US,2022-05-16 21:24:14
120,Baykit,61.67,96.37,47.19,95,27,3.44,RU,2022-05-16 21:25:48
121,Havelock,34.8791,-76.9013,84.02,84,52,14.0,US,2022-05-16 21:25:49
122,Geraldton,-28.7667,114.6,52.21,87,0,13.8,AU,2022-05-16 21:25:49
123,Naliya,23.2667,68.8333,81.97,71,0,15.7,IN,2022-05-16 21:25:49
124,Asau,46.4333,26.4,56.95,83,40,2.93,RO,2022-05-16 21:25:50
125,Henties Bay,-22.116,14.2845,65.39,62,32,1.81,NA,2022-05-16 21:25:50
126,De-Kastri,51.4667,140.7833,42.08,86,29,3.0,RU,2022-05-16 21:25:51
127,Saint-Francois,46.4154,3.9054,63.84,82,0,3.44,FR,2022-05-16 21:25:51
128,Fort Nelson,58.8053,-122.7002,54.99,50,75,11.5,CA,2022-05-16 21:25:51
129,Muyezerskiy,63.9333,31.65,35.58,98,100,5.44,RU,2022-05-16 21:25:52
130,Kushima,31.4583,131.2333,59.61,89,100,4.54,JP,2022-05-16 21:25:52
131,Margate,51.3813,1.3862,59.7,82,100,3.0,GB,2022-05-16 21:25:53
132,Tuatapere,-46.1333,167.6833,51.15,90,100,4.05,NZ,2022-05-16 21:25:53
133,Orange,33.7,-117.7675,88.68,57,20,6.91,US,2022-05-16 21:23:57
134,Strathmore,51.0501,-113.3852,72.36,26,62,8.99,CA,2022-05-16 21:25:54
135,Puerto Ayora,-0.7393,-90.3518,80.56,90,85,4.0,EC,2022-05-16 21:25:54
136,Yeppoon,-23.1333,150.7333,69.58,91,22,5.95,AU,2022-05-16 21:25:55
137,Nushki,29.5542,66.0215,74.93,17,0,3.8,PK,2022-05-16 21:25:55
138,Namatanai,-3.6667,152.4333,79.7,78,82,4.81,PG,2022-05-16 21:23:14
139,Belaya Gora,68.5333,146.4167,28.29,93,100,3.56,RU,2022-05-16 21:25:56
140,Avarua,-21.2078,-159.775,78.85,73,75,6.91,CK,2022-05-16 21:26:56
141,Pevek,69.7008,170.3133,33.17,87,100,5.35,RU,2022-05-16 21:26:56
142,Yulara,-25.2406,130.9889,56.1,36,100,10.69,AU,2022-05-16 21:26:57
143,Kodiak,57.79,-152.4072,56.71,30,0,9.22,US,2022-05-16 21:26:57
144,Kunda,25.7167,81.5167,93.79,15,25,7.45,IN,2022-05-16 21:26:58
145,Norman Wells,65.282,-126.8329,53.64,50,20,4.61,CA,2022-05-16 21:26:58
146,Aksarka,66.5606,67.7975,43.92,87,52,1.95,RU,2022-05-16 21:26:59
147,Acari,-15.4311,-74.6158,76.08,53,77,6.35,PE,2022-05-16 21:26:59
148,Awjilah,29.1081,21.2869,80.71,28,0,2.98,LY,2022-05-16 21:26:59
149,Bourg-En-Bresse,46.1667,5.1667,69.62,72,89,3.06,FR,2022-05-16 21:27:00
150,Pochutla,15.7432,-96.4661,93.02,44,41,9.48,MX,2022-05-16 21:27:00
151,Tasiilaq,65.6145,-37.6368,39.36,99,100,6.73,GL,2022-05-16 21:27:01
152,East London,-33.0153,27.9116,67.96,57,0,8.3,ZA,2022-05-16 21:25:05
153,Trairi,-3.2778,-39.2689,78.13,84,45,7.52,BR,2022-05-16 21:27:01
154,Boromlya,50.6184,34.9704,42.73,84,6,8.08,UA,2022-05-16 21:27:02
155,Dingle,10.9995,122.6711,77.04,87,100,1.19,PH,2022-05-16 21:27:02
156,Teguldet,57.3064,88.1667,55.53,67,98,5.66,RU,2022-05-16 21:27:03
157,Kieta,-6.2167,155.6333,79.25,82,99,1.52,PG,2022-05-16 21:27:03
158,Along,28.1667,94.7667,69.8,100,100,2.26,IN,2022-05-16 21:27:04
159,Casablanca,33.5928,-7.6192,68.32,77,0,5.99,MA,2022-05-16 21:27:04
160,Quelimane,-17.8786,36.8883,71.55,94,75,4.61,MZ,2022-05-16 21:27:05
161,Manuk Mangkaw,4.8,119.85,81.73,78,100,7.27,PH,2022-05-16 21:27:05
162,Sladkovo,55.5284,70.3385,54.5,80,44,13.67,RU,2022-05-16 21:27:06
163,Sinop,41.7711,34.8709,56.12,55,76,5.77,TR,2022-05-16 21:27:06
164,Pauini,-7.7136,-66.9764,73.2,99,100,1.39,BR,2022-05-16 21:27:07
165,Diapaga,12.0708,1.7889,94.62,24,70,4.27,BF,2022-05-16 21:27:07
166,Vao,-22.6667,167.4833,73.99,78,13,16.42,NC,2022-05-16 21:27:08
167,Quatre Cocos,-20.2078,57.7625,73.51,75,98,14.52,MU,2022-05-16 21:27:10
168,Banjar,-8.19,114.9675,78.26,90,100,2.13,ID,2022-05-16 21:27:10
169,Faanui,-16.4833,-151.75,80.73,73,90,12.86,PF,2022-05-16 21:27:11
170,Buraydah,26.326,43.975,86.45,17,0,13.29,SA,2022-05-16 21:27:11
171,Warrnambool,-38.3833,142.4833,46.81,77,100,15.37,AU,2022-05-16 21:23:33
172,Mount Gambier,-37.8333,140.7667,50.32,77,93,6.58,AU,2022-05-16 21:27:12
173,Necochea,-38.5473,-58.7368,50.61,82,100,26.08,AR,2022-05-16 21:27:13
174,Ternate,0.8,127.4,80.2,81,41,4.97,ID,2022-05-16 21:27:13
175,Ushtobe,45.2514,77.9838,63.25,47,78,7.49,KZ,2022-05-16 21:27:13
176,Longyearbyen,78.2186,15.6401,30.04,86,75,5.75,SJ,2022-05-16 21:27:14
177,Mancio Lima,-7.6142,-72.8958,87.87,66,40,2.3,BR,2022-05-16 21:27:14
178,Teguise,29.0605,-13.564,66.42,73,20,10.36,ES,2022-05-16 21:27:15
179,Moose Factory,51.2585,-80.6094,60.8,55,100,9.22,CA,2022-05-16 21:27:16
180,Ayan,56.45,138.1667,32.22,93,99,5.75,RU,2022-05-16 21:27:16
181,Limbang,4.75,115.0,78.91,97,100,1.68,MY,2022-05-16 21:27:16
182,Castro,-24.7911,-50.0119,52.05,81,6,4.16,BR,2022-05-16 21:27:17
183,Dumka,24.2667,87.25,83.71,75,33,11.83,IN,2022-05-16 21:27:17
184,Chokurdakh,70.6333,147.9167,25.18,95,98,5.03,RU,2022-05-16 21:27:18
185,Natal,-5.795,-35.2094,79.45,94,75,11.5,BR,2022-05-16 21:27:18
186,Goderich,43.7501,-81.7165,59.32,58,56,1.14,CA,2022-05-16 21:25:54
187,San Rafael,-34.6177,-68.3301,54.84,32,0,6.91,AR,2022-05-16 21:28:19
188,Waspan,14.7419,-83.9717,83.26,77,98,6.73,NI,2022-05-16 21:28:19
189,Charlestown,-32.95,151.6667,56.73,84,0,1.99,AU,2022-05-16 21:28:20
190,Portland,45.5234,-122.6762,65.86,55,75,7.0,US,2022-05-16 21:24:17
191,Sao Joao Da Barra,-21.6403,-41.0511,75.29,84,43,13.71,BR,2022-05-16 21:28:21
192,Kirakira,-10.4544,161.9205,81.21,78,71,4.14,SB,2022-05-16 21:28:21
193,Olafsvik,64.8945,-23.7142,51.35,72,86,9.35,IS,2022-05-16 21:28:22
194,Luchegorsk,46.4764,134.2569,45.21,89,40,4.32,RU,2022-05-16 21:28:22
195,Solvychegodsk,61.3305,46.9156,43.52,86,100,8.39,RU,2022-05-16 21:28:23
196,Lufilufi,-13.8745,-171.5986,83.98,76,48,14.29,WS,2022-05-16 21:28:23
197,Kavieng,-2.5744,150.7967,81.25,75,33,7.05,PG,2022-05-16 21:28:24
198,Shimoda,34.6667,138.95,61.63,89,100,5.88,JP,2022-05-16 21:28:24
199,Lavrentiya,65.5833,-171.0,27.05,71,82,0.98,RU,2022-05-16 21:28:25
200,Nouadhibou,20.931,-17.0347,78.78,44,100,19.57,MR,2022-05-16 21:28:25
201,Wattegama,6.7989,81.4808,76.59,86,66,7.61,LK,2022-05-16 21:28:26
202,Chicama,-7.8447,-79.1469,63.14,67,55,8.88,PE,2022-05-16 21:28:26
203,Bambous Virieux,-20.3428,57.7575,73.65,78,75,10.36,MU,2022-05-16 21:28:27
204,Palekh,56.8028,41.8572,42.89,97,100,6.87,RU,2022-05-16 21:28:27
205,Vero Beach,27.6386,-80.3973,91.06,65,75,12.66,US,2022-05-16 21:28:28
206,Aksu,41.1231,80.2644,64.17,42,8,5.01,CN,2022-05-16 21:28:28
207,Saskylakh,71.9167,114.0833,8.8,99,51,3.36,RU,2022-05-16 21:28:28
208,Caravelas,-17.7125,-39.2481,76.6,84,56,8.08,BR,2022-05-16 21:28:29
209,Ahipara,-35.1667,173.1667,66.0,89,94,9.35,NZ,2022-05-16 21:28:30
210,Kinel,53.2333,50.65,51.04,87,93,5.7,RU,2022-05-16 21:28:31
211,Maningrida,-12.0667,134.2667,69.26,79,12,6.49,AU,2022-05-16 21:28:31
212,Ust-Omchug,61.15,149.6333,33.76,82,100,4.07,RU,2022-05-16 21:28:32
213,Kachiry,53.0675,76.1036,62.94,49,30,11.95,KZ,2022-05-16 21:28:32
214,Manicore,-5.8092,-61.3003,82.35,89,75,2.3,BR,2022-05-16 21:28:32
215,Tabou,4.423,-7.3528,79.75,84,83,7.78,CI,2022-05-16 21:28:33
216,Dombarovskiy,50.7587,59.5386,51.19,85,78,9.53,RU,2022-05-16 21:28:33
217,Kayes,14.0,-11.0,97.7,6,42,4.14,ML,2022-05-16 21:28:34
