City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Manokwari,ID,82.53,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
380,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
382,Metro,ID,75.0,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
383,Namatanai,PG,83.39,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
384,Niquelandia,BR,77.41,broken clouds,-14.4739,-48.4597,Hotel Suinã
386,Haapiti,PF,85.73,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
389,Benjamin Constant,BR,84.33,few clouds,-4.3831,-70.0311,CASA AVALIADA
401,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
402,Pyapon,MM,80.67,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
405,Cabo San Lucas,MX,85.17,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
412,Labuhan,ID,77.58,broken clouds,-6.8844,112.2051,DoubleFAG
416,Bilma,NE,81.81,clear sky,18.6853,12.9164,Expeditions Ténére voyages
421,Umm Lajj,SA,81.0,broken clouds,25.0213,37.2685,Moon light Furnished Units
422,Kavaratti,IN,82.06,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
423,Corralillo,CU,79.68,broken clouds,22.9819,-80.5856,Hostal De Pedri
424,Vanimo,PG,82.31,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
426,Guymon,US,89.76,broken clouds,36.6828,-101.4816,Simple Rewards
428,Sinnamary,GF,78.39,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
432,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
433,Jasper,US,79.02,clear sky,37.2001,-94.3502,Guest House Motel
440,Rohnert Park,US,85.98,clear sky,38.3396,-122.7011,DoubleTree by Hilton Hotel Sonoma Wine Country
445,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
446,Pierre,US,80.06,clear sky,44.3683,-100.351,Ramkota Hotel
450,Turbat,PK,84.04,clear sky,26.0023,63.044,Mubashar Quarters
462,High Rock,BS,82.42,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
469,Rolla,US,77.86,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
470,Grand-Santi,GF,75.2,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
474,Sao Filipe,CV,75.52,scattered clouds,14.8961,-24.4956,Hotel Xaguate
476,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
483,Barra,BR,79.54,broken clouds,-11.0894,-43.1417,Motel Albatroz
490,Muli,MV,83.28,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
491,Ipixuna,BR,76.42,broken clouds,-1.7625,-48.8043,Chalé do Mato
499,Ranong,TH,79.29,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
502,Mana,GF,78.57,moderate rain,5.6592,-53.7767,LE SAMANA
504,Ixtapa,MX,83.61,overcast clouds,20.7,-105.2,hotel la terminal
507,Bull Savanna,JM,79.05,overcast clouds,17.8868,-77.5902,Big Red's
509,Palu,ID,78.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
513,Ambon,ID,77.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
520,Caravelas,BR,76.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
521,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
523,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
525,Tomatlan,MX,84.27,overcast clouds,19.9333,-105.25,El Salvial
530,Tautira,PF,81.28,scattered clouds,-17.7333,-149.15,Pension Oaoa
536,Coahuayana,MX,86.61,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
538,Santa Rosa,PH,81.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
539,Sao Felix Do Xingu,BR,75.47,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
541,Cortez,US,84.94,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
544,Gizo,SB,83.23,clear sky,-8.103,156.8419,Imagination Island
547,Havelock,US,80.56,broken clouds,34.8791,-76.9013,Sherwood Motel
557,Ukiah,US,78.44,overcast clouds,39.1502,-123.2078,Hampton Inn Ukiah
559,Ruidoso,US,86.14,scattered clouds,33.3317,-105.673,Inn of the Mountain Gods
560,Phuket,TH,86.13,heavy intensity rain,8.0,98.25,The Surin
562,Uthal,PK,82.83,clear sky,25.8072,66.6219,Al-Mustafa Hotel
564,Les Cayes,HT,79.79,overcast clouds,18.2,-73.75,Villa Orphee
565,Sorong,ID,80.15,light rain,-0.8833,131.25,Waigo Splash Hotel
571,Dhidhdhoo,MV,81.39,overcast clouds,6.8833,73.1,Dhidhoo beach
