City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Ribeira Grande,PT,38.5167,-28.7,58.62,59,64,26.87,broken clouds
127,Atbasar,KZ,51.8,68.3333,58.24,67,71,8.72,broken clouds
128,Santa Maria,BR,-29.6842,-53.8069,52.9,66,75,13.8,broken clouds
129,Madimba,TZ,-10.4,40.3333,72.23,88,5,8.97,clear sky
130,Sicamous,CA,50.8331,-118.9856,67.17,73,79,5.06,broken clouds
131,Svarstad,NO,59.399,9.9698,49.71,67,34,3.69,scattered clouds
132,Chokurdakh,RU,70.6333,147.9167,27.95,94,91,5.82,overcast clouds
133,Camana,PE,-16.6228,-72.7111,66.07,80,9,10.42,clear sky
134,Chintamani,IN,13.4,78.0667,70.14,82,91,5.64,overcast clouds
135,Kibre Mengist,ET,5.8833,38.9833,57.22,98,74,1.3,broken clouds
136,Paamiut,GL,61.994,-49.6678,34.16,83,6,14.5,clear sky
137,Mehamn,NO,71.0357,27.8492,35.55,75,75,18.41,broken clouds
138,Kharp,RU,66.8014,65.8081,41.34,92,75,7.2,broken clouds
139,Saint-Pierre,RE,-21.3393,55.4781,71.28,78,75,5.75,broken clouds
140,Arman,RU,59.7,150.1667,39.02,99,100,2.82,moderate rain
141,Bethel,US,41.3712,-73.414,68.86,88,100,5.75,overcast clouds
142,Ponta Do Sol,PT,32.6667,-17.1,70.0,81,23,4.94,few clouds
143,Qaanaaq,GL,77.484,-69.3632,21.15,77,33,4.61,scattered clouds
144,Troitsk,RU,54.0979,61.5773,48.69,83,7,13.4,clear sky
145,Zholymbet,KZ,51.7433,71.7122,60.75,44,32,11.63,scattered clouds
146,Iqaluit,CA,63.7506,-68.5145,26.33,79,75,15.01,broken clouds
147,Montorio Al Vomano,IT,42.5831,13.6383,64.72,80,61,6.93,broken clouds
148,Chumikan,RU,54.7183,135.315,34.3,90,84,7.61,broken clouds
149,Kahului,US,20.8947,-156.47,87.82,40,40,12.66,scattered clouds
150,Salalah,OM,17.0151,54.0924,82.49,83,20,3.44,few clouds
151,Astoria,US,46.1879,-123.8313,57.09,66,75,10.36,broken clouds
152,Provideniya,RU,64.3833,-173.3,32.36,80,0,4.47,clear sky
153,Webb City,US,37.1465,-94.463,79.83,37,0,3.44,clear sky
154,Yaan,NG,7.3833,8.5667,81.43,71,87,12.06,overcast clouds
155,Rawson,AR,-43.3002,-65.1023,48.67,73,0,9.4,clear sky
156,Faanui,PF,-16.4833,-151.75,80.65,74,94,15.3,light rain
157,Maku,IR,39.2911,44.4521,51.04,77,51,1.86,broken clouds
158,Yellowknife,CA,62.456,-114.3525,52.32,40,75,13.8,broken clouds
159,Springdale,US,36.1867,-94.1288,80.51,45,0,4.61,clear sky
160,Jalu,LY,29.0331,21.5482,79.34,28,0,5.1,clear sky
161,Leh,IN,34.1667,77.5833,44.42,47,35,3.53,scattered clouds
162,Port Lincoln,AU,-34.7333,135.8667,58.03,70,97,5.57,overcast clouds
163,Loandjili,CG,-4.7561,11.8578,77.67,93,98,4.79,overcast clouds
164,Tasiilaq,GL,65.6145,-37.6368,39.36,99,100,5.57,light rain
165,Mar Del Plata,AR,-38.0023,-57.5575,55.94,80,100,16.11,overcast clouds
166,Saint-Joseph,RE,-21.3667,55.6167,70.18,83,49,13.06,light rain
167,Olafsvik,IS,64.8945,-23.7142,49.91,76,60,9.13,broken clouds
168,Lorengau,PG,-2.0226,147.2712,83.91,68,53,7.9,broken clouds
169,Haverhill,US,42.7762,-71.0773,75.42,91,40,4.61,scattered clouds
170,Valdivia,CL,-39.8142,-73.2459,48.29,73,1,2.93,clear sky
171,Nishihara,JP,26.1842,127.7558,65.86,94,100,9.22,light rain
172,Talara,PE,-4.5772,-81.2719,74.16,68,75,12.66,broken clouds
173,Livingston,GB,55.9029,-3.5226,54.12,99,100,8.05,mist
174,Dingle,PH,10.9995,122.6711,79.99,81,100,0.94,overcast clouds
175,Saryg-Sep,RU,51.5,95.6,53.04,71,94,1.97,overcast clouds
176,Pacific Grove,US,36.6177,-121.9166,75.24,78,75,13.8,broken clouds
177,Carnarvon,AU,-24.8667,113.6333,69.1,60,0,6.73,clear sky
178,Zyryanka,RU,65.75,150.85,47.93,56,7,17.52,clear sky
179,Cedar City,US,37.6775,-113.0619,83.37,7,0,12.66,clear sky
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.53,95,64,11.59,broken clouds
181,Severo-Kurilsk,RU,50.6789,156.125,39.15,90,70,9.53,broken clouds
182,Stykkisholmur,IS,65.0757,-22.7297,48.7,76,38,7.54,scattered clouds
183,Leua,SK,48.2156,18.6071,63.45,84,84,1.54,broken clouds
184,Cherskiy,RU,68.75,161.3,38.64,88,100,11.74,overcast clouds
185,Beringovskiy,RU,63.05,179.3167,37.71,78,38,2.55,scattered clouds
186,Bushehr,IR,28.9684,50.8385,82.49,61,0,13.8,dust
187,Maniitsoq,GL,65.4167,-52.9,33.17,73,1,10.25,clear sky
188,Trujillo,PE,-8.116,-79.03,64.36,88,87,10.36,fog
189,San Javier,ES,37.8063,-0.8374,72.21,78,37,1.14,scattered clouds
190,Nouadhibou,MR,20.931,-17.0347,78.78,36,100,21.85,overcast clouds
191,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,6.91,broken clouds
192,Coacoyul,MX,17.8058,-99.11,88.9,23,10,7.47,clear sky
193,Yulara,AU,-25.2406,130.9889,59.63,31,91,13.18,overcast clouds
194,Cheyenne,US,41.14,-104.8203,75.52,20,75,24.16,broken clouds
195,Maragogi,BR,-9.0122,-35.2225,78.1,88,19,7.2,few clouds
196,Hasaki,JP,35.7333,140.8333,59.4,86,100,17.85,overcast clouds
197,Albanel,CA,48.8832,-72.4487,67.98,73,98,3.44,overcast clouds
198,Upernavik,GL,72.7868,-56.1549,16.72,88,23,9.57,few clouds
199,Shreveport,US,32.5251,-93.7502,89.82,55,0,5.75,clear sky
200,La Asuncion,VE,11.0333,-63.8628,82.13,89,100,18.41,overcast clouds
201,Nelson Bay,AU,-32.7167,152.15,63.0,84,0,1.99,clear sky
202,Oksfjord,NO,70.2396,22.3479,35.78,88,100,8.1,light rain
203,Sur,OM,22.5667,59.5289,85.64,36,0,8.1,clear sky
204,Salina Cruz,MX,16.1667,-95.2,94.33,41,45,6.13,scattered clouds
205,Guerrero Negro,MX,27.9769,-114.0611,67.12,64,14,21.41,few clouds
206,Vanavara,RU,60.34,102.2797,57.09,60,100,10.49,overcast clouds
207,Vestmannaeyjar,IS,63.4427,-20.2734,49.48,76,31,21.07,scattered clouds
208,Victoria,HK,22.2855,114.1577,69.33,80,81,8.99,broken clouds
209,Makakilo City,US,21.3469,-158.0858,80.92,75,40,9.22,light intensity drizzle
210,New Norfolk,AU,-42.7826,147.0587,50.88,81,98,7.0,overcast clouds
211,Aketi,CD,2.7388,23.7833,70.12,99,100,2.01,overcast clouds
212,Hofn,IS,64.2539,-15.2082,47.41,89,8,10.4,clear sky
213,Bardiyah,LY,31.7561,25.0865,67.46,60,0,5.26,clear sky
214,Marsa Matruh,EG,31.3525,27.2453,66.4,82,0,6.91,clear sky
215,Deputatskiy,RU,69.3,139.9,22.86,88,100,1.03,overcast clouds
216,Grand Gaube,MU,-20.0064,57.6608,73.8,76,79,3.0,broken clouds
217,Itapetinga,BR,-15.2489,-40.2478,73.06,82,34,6.2,scattered clouds
218,Wanning,CN,18.8003,110.3967,72.23,89,100,9.1,overcast clouds
219,Portland,US,45.5234,-122.6762,66.25,52,75,8.05,broken clouds
220,Aklavik,CA,68.2191,-135.0107,33.08,84,41,14.03,scattered clouds
221,Mount Gambier,AU,-37.8333,140.7667,52.05,76,96,7.65,overcast clouds
222,Grindavik,IS,63.8424,-22.4338,55.35,66,75,18.41,broken clouds
223,Mchinji,MW,-13.7984,32.8802,52.92,91,0,4.05,clear sky
224,Zonguldak,TR,41.25,31.8333,50.07,70,0,4.12,clear sky
225,Ternate,ID,0.8,127.4,81.14,78,32,4.16,scattered clouds
226,Chara,RU,56.9064,118.2631,37.44,75,63,1.34,broken clouds
227,Rosarito,MX,32.3333,-117.0333,76.66,67,12,7.34,few clouds
228,Ler,SS,8.3018,30.1418,78.53,69,52,0.89,broken clouds
229,Murud,IN,18.3258,72.965,82.54,75,62,5.61,broken clouds
230,Estelle,US,29.8458,-90.1067,91.4,43,75,5.01,broken clouds
231,Tiarei,PF,-17.5333,-149.3333,86.02,70,46,16.37,scattered clouds
232,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,4.61,broken clouds
233,Mangrol,IN,21.1167,70.1167,83.12,65,6,14.54,clear sky
234,Santiago,CL,-33.4569,-70.6483,70.99,48,0,11.5,clear sky
235,Mugur-Aksy,RU,50.35,90.5,41.5,84,92,4.7,overcast clouds
236,Cairns,AU,-16.9167,145.7667,79.07,87,0,0.0,clear sky
237,Russkiy Aktash,RU,55.0384,52.1214,44.73,91,37,4.81,scattered clouds
238,Quelimane,MZ,-17.8786,36.8883,71.55,94,75,4.61,broken clouds
239,San Antonio,US,29.4241,-98.4936,100.06,30,0,11.5,clear sky
240,Constitucion,CL,-35.3333,-72.4167,54.16,72,0,2.86,clear sky
241,Lamu,KE,-2.2717,40.902,78.67,80,12,16.44,light rain
242,Kirakira,SB,-10.4544,161.9205,84.96,67,79,2.19,broken clouds
243,Taiping,MY,4.85,100.7333,73.22,91,100,2.71,overcast clouds
244,Mporokoso,ZM,-9.3727,30.125,59.99,78,20,6.73,few clouds
245,Alofi,NU,-19.0595,-169.9187,78.69,69,75,17.27,light intensity shower rain
246,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,85,0,4.61,clear sky
247,Najran,SA,17.4924,44.1277,70.45,9,7,2.39,clear sky
248,Warmbad,NA,-28.45,18.7333,68.67,25,0,9.84,clear sky
249,Kruisfontein,ZA,-34.0033,24.7314,62.89,32,0,11.03,clear sky
250,Pisco,PE,-13.7,-76.2167,69.85,68,0,11.5,clear sky
251,Zhanakorgan,KZ,43.9098,67.2495,73.18,31,9,3.38,clear sky
252,Tezu,IN,27.9167,96.1667,70.63,97,100,4.25,light rain
253,Tommot,RU,58.9564,126.2925,35.22,95,100,3.96,light snow
254,Taphan Hin,TH,16.2209,100.4198,82.96,87,100,8.23,overcast clouds
255,Mananara,MG,-16.1667,49.7667,71.49,88,59,6.08,light rain
256,Tessalit,ML,20.1986,1.0114,90.7,10,58,4.83,broken clouds
257,Vestmanna,FO,62.1564,-7.1664,45.52,71,36,23.02,scattered clouds
258,Alyangula,AU,-13.8483,136.4192,79.63,68,0,11.12,clear sky
259,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,75,75,2.24,broken clouds
260,Leningradskiy,RU,69.3833,178.4167,27.21,88,100,13.15,overcast clouds
261,Wanaka,NZ,-44.7,169.15,62.11,55,58,3.0,broken clouds
262,Touros,BR,-5.1989,-35.4608,79.3,86,66,10.29,broken clouds
263,Bemidji,US,47.4736,-94.8803,60.57,51,75,6.91,broken clouds
264,Bandarbeyla,SO,9.4942,50.8122,83.08,72,100,23.53,overcast clouds
265,Margate,GB,51.3813,1.3862,58.3,83,100,1.99,overcast clouds
266,Murgab,TM,37.4966,61.9714,69.67,52,0,0.0,clear sky
267,Lalmohan,BD,22.3384,90.7419,83.84,84,80,14.56,broken clouds
268,Auki,SB,-8.7676,160.7034,83.88,71,32,4.12,scattered clouds
269,Kaabong,UG,3.4836,34.1492,66.02,69,33,14.03,scattered clouds
270,Road Town,VG,18.4167,-64.6167,82.49,74,40,10.36,scattered clouds
271,Khanu Woralaksaburi,TH,16.0617,99.8606,79.54,76,100,8.19,overcast clouds
272,Norton Shores,US,43.1689,-86.2639,70.32,49,40,5.75,scattered clouds
273,Flinders,AU,-34.5833,150.8552,62.19,58,0,5.01,clear sky
274,Hamilton,US,39.1834,-84.5333,76.44,38,20,14.97,few clouds
275,Tamandare,BR,-8.7597,-35.1047,78.49,87,15,6.58,few clouds
276,Monrovia,LR,6.3005,-10.7969,79.18,87,92,4.41,moderate rain
277,Acapulco,MX,16.8634,-99.8901,86.72,52,80,11.59,broken clouds
278,Panzhihua,CN,26.5851,101.7128,64.85,91,100,1.61,overcast clouds
279,Port Moresby,PG,-9.4431,147.1797,81.82,83,40,3.44,haze
280,Saldanha,ZA,-33.0117,17.9442,57.25,54,69,7.78,broken clouds
281,Buraydah,SA,26.326,43.975,84.65,22,0,9.78,clear sky
282,La Palma,US,33.8464,-118.0467,86.5,62,20,9.22,few clouds
283,San Ramon,US,37.7799,-121.978,78.82,62,0,17.27,clear sky
284,Milazzo,IT,38.2212,15.2383,67.57,79,0,4.0,clear sky
285,North Bend,US,43.4065,-124.2243,59.92,77,100,9.22,overcast clouds
286,Mandalgovi,MN,45.7625,106.2708,52.21,37,6,9.89,clear sky
287,Lompoc,US,34.6391,-120.4579,77.56,72,75,26.46,mist
288,Sakakah,SA,29.9697,40.2064,76.57,18,50,8.66,scattered clouds
289,Bengkulu,ID,-3.8004,102.2655,75.85,90,100,4.79,overcast clouds
290,Nador,MA,35.174,-2.9287,68.25,49,100,0.0,haze
291,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,49.21,50,0,5.53,clear sky
292,Tungawan,PH,7.5081,122.3711,81.3,82,90,4.9,overcast clouds
293,Koumac,NC,-20.5667,164.2833,79.59,66,69,2.91,broken clouds
294,Maceio,BR,-9.6658,-35.7353,78.24,83,20,4.61,few clouds
295,Betare Oya,CM,5.6,14.0833,69.42,90,85,3.6,light rain
296,Novoukrainskiy,RU,44.8969,38.0522,54.97,81,24,6.62,few clouds
297,Los Corrales De Buelna,ES,43.2636,-4.0726,66.34,86,7,3.0,clear sky
298,Ilulissat,GL,69.2167,-51.1,30.22,64,20,0.0,few clouds
299,Falam,MM,22.9167,93.6833,60.91,90,100,2.21,overcast clouds
300,Belton,US,38.812,-94.5319,79.9,40,0,6.91,clear sky
301,Lopukhiv,UA,48.3653,23.9638,48.27,93,65,2.24,broken clouds
302,Oranjemund,NA,-28.55,16.4333,69.31,36,3,1.83,clear sky
303,Shaunavon,CA,49.6501,-108.4181,71.38,36,75,6.46,broken clouds
304,Dunbar,US,38.3606,-81.7374,74.68,54,40,4.61,scattered clouds
305,Kaitangata,NZ,-46.2817,169.8464,54.36,75,100,3.38,overcast clouds
306,Kamaishi,JP,39.2667,141.8833,58.12,76,100,3.62,overcast clouds
307,Ridgecrest,US,35.6225,-117.6709,97.02,11,20,10.36,few clouds
308,Iralaya,HN,15.0,-83.2333,80.78,81,100,3.76,overcast clouds
309,Ostrovnoy,RU,68.0531,39.5131,35.83,84,100,18.19,overcast clouds
310,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,71,20,20.74,few clouds
311,Nanning,CN,22.8167,108.3167,63.05,85,81,2.64,broken clouds
312,Santa Marta,CO,11.2408,-74.199,88.9,66,75,11.5,broken clouds
313,Emilio Carranza,MX,19.9711,-96.6114,83.86,62,2,11.56,clear sky
314,Sumbe,AO,-11.2061,13.8437,75.79,87,5,7.2,clear sky
315,Pala,TD,9.3642,14.9046,78.12,67,96,1.16,overcast clouds
316,Mitsamiouli,KM,-11.3847,43.2844,79.09,71,0,6.64,clear sky
317,Yatou,CN,37.15,122.3833,62.76,65,0,3.36,clear sky
318,Zemio,CF,5.0314,25.1361,69.78,90,96,1.83,overcast clouds
319,Licata,IT,37.1071,13.9461,66.42,57,3,5.73,clear sky
320,Petropavlovka,RU,50.6114,105.3196,57.27,48,99,4.12,overcast clouds
321,Mecca,SA,21.4267,39.8261,84.7,36,0,2.37,clear sky
322,Joao Pinheiro,BR,-17.7425,-46.1725,65.77,85,84,4.81,broken clouds
323,Ketchikan,US,55.3422,-131.6461,46.38,87,100,8.05,heavy intensity rain
324,Sola,VU,-13.8833,167.55,80.87,77,88,15.41,overcast clouds
325,Quatre Cocos,MU,-20.2078,57.7625,73.51,73,92,13.31,overcast clouds
326,Saint George,US,37.1041,-113.5841,95.95,7,0,11.5,clear sky
327,Teya,RU,60.3778,92.6267,50.07,88,79,3.36,broken clouds
328,Sinazongwe,ZM,-17.2614,27.4618,64.31,52,0,5.28,clear sky
329,Santa Ana,US,33.7456,-117.8678,87.64,57,20,9.22,few clouds
330,Kenai,US,60.5544,-151.2583,57.02,34,40,17.27,scattered clouds
331,Nanortalik,GL,60.1432,-45.2371,37.74,80,99,6.06,overcast clouds
332,Praya,CV,14.9215,-23.5087,81.14,50,0,24.16,clear sky
333,Batie,BF,9.8833,-2.9167,83.88,52,78,2.26,broken clouds
334,Concepcion,CL,-36.827,-73.0498,51.6,87,100,4.61,overcast clouds
335,Karaton,ID,-6.3424,106.1045,74.71,95,100,4.34,overcast clouds
336,Bowen,AU,-20.0167,148.2333,75.61,75,1,5.23,clear sky
337,Presidente Dutra,BR,-5.29,-44.49,77.05,82,99,3.06,moderate rain
338,San Andres,CO,12.5847,-81.7006,78.82,94,75,9.22,light intensity drizzle
339,Itapirapua,BR,-15.8233,-50.6133,76.39,64,91,7.05,overcast clouds
340,Manggar,ID,-2.8833,108.2667,80.47,82,100,2.55,overcast clouds
341,Hokitika,NZ,-42.7167,170.9667,58.71,79,92,2.39,heavy intensity rain
342,Lusambo,CD,-4.9667,23.45,72.03,79,49,1.01,scattered clouds
343,Marsh Harbour,BS,26.5412,-77.0636,73.99,76,100,11.7,overcast clouds
344,Estacion Coahuila,MX,32.1939,-115.0017,102.36,7,0,10.13,clear sky
345,Puri,IN,19.8,85.85,82.92,86,41,19.6,scattered clouds
346,Porto Tolle,IT,44.9497,12.3245,65.75,82,81,2.73,broken clouds
347,Yerbogachen,RU,61.2767,108.0108,56.48,59,83,4.45,broken clouds
